PFId,PrjCode,ClstAgg,ClstPrct,AdmLocTypeIdAgg,AdmLoc1,AdmLoc2,AdmLoc3,AdmLoc4,AdmLoc5,AdmLoc6,AdmLocBenClustAgg1,AdmLocBenClustAgg2,AdmLocBenClustAgg3,AdmLocBenClustAgg4,AdmLocBenClustAgg5,AdmLocBenClustAgg6,AdmLocCord1,AdmLocCord2,AdmLocCord3,AdmLocCord4,AdmLocCord5,AdmLocCord6,AdmLocClustBdg1,AdmLocClustBdg2,AdmLocClustBdg3,AdmLocClustBdg4,AdmLocClustBdg5,AdmLocClustBdg6,AYr,AdmLocBenReachedClustAgg1,AdmLocBenReachedClustAgg2,AdmLocBenReachedClustAgg3,AdmLocBenReachedClustAgg4,AdmLocBenReachedClustAgg5,AdmLocBenReachedClustAgg6
21,CBPF-SOM-23-R-INGO-27080,7,100.00,1##2##3##,Bay,Baidoa,Berdale/Waberi,,,,186##673##372##418,186##673##372##418,186##673##372##418,,,,"2.67600000,43.73800000","3.11718000,43.64690000","3.20706100,43.20085100",,,,24680.00,24680.00,24680.00,,,,2023,30##68##22##45,30##68##22##45,30##68##22##45,,,
21,CBPF-SOM-23-R-INGO-27080,7,100.00,1##2##3##,Bay,Baidoa,Mursal,,,,598##3139##1294##1599,598##3139##1294##1599,598##3139##1294##1599,,,,"2.67600000,43.73800000","3.11718000,43.64690000","3.38305000,43.19966900",,,,70120.00,70120.00,70120.00,,,,2023,147##294##127##203,147##294##127##203,147##294##127##203,,,
21,CBPF-SOM-23-R-INGO-27080,7,100.00,1##2##3##,Bay,Baidoa,War Xussen,,,,210##855##429##497,210##855##429##497,210##855##429##497,,,,"2.67600000,43.73800000","3.11718000,43.64690000","3.27600000,43.44420000",,,,40000.00,40000.00,40000.00,,,,2023,39##90##30##60,39##90##30##60,39##90##30##60,,,
21,CBPF-SOM-23-R-INGO-27148,7,100.00,1##,Mudug,,,,,,9329##16051##19912##22163,,,,,,"6.49100000,48.01000000",,,,,,500000.00,,,,,,2023,10469##29820##15830##21233,,,,,
21,CBPF-SOM-23-R-INGO-27164,11,100.00,1##2##3##,Mudug,Gaalkacyo,Carfuuda,,,,600##810##690##900,600##810##690##900,600##810##690##900,,,,"6.49100000,48.01000000","6.76924000,47.43061100","6.62902000,47.58737000",,,,25000.01,25000.01,25000.01,,,,2023,600##810##690##900,600##810##690##900,600##810##690##900,,,
21,CBPF-SOM-23-R-INGO-27164,11,100.00,1##2##3##,Mudug,Gaalkacyo,Dagaari,,,,600##810##690##900,600##810##690##900,600##810##690##900,,,,"6.49100000,48.01000000","6.76924000,47.43061100","6.55228000,47.28542000",,,,25000.01,25000.01,25000.01,,,,2023,900##1215##1035##1350,900##1215##1035##1350,900##1215##1035##1350,,,
21,CBPF-SOM-23-R-INGO-27164,11,100.00,1##2##3##,Mudug,Gaalkacyo,Gaalkacyo,,,,3000##4050##3450##4500,3000##4050##3450##4500,3000##4050##3450##4500,,,,"6.49100000,48.01000000","6.76924000,47.43061100","6.76924000,47.43061100",,,,415000.23,415000.23,415000.23,,,,2023,3000##4050##3450##4500,3000##4050##3450##4500,3000##4050##3450##4500,,,
21,CBPF-SOM-23-R-INGO-27164,11,100.00,1##2##3##,Mudug,Gaalkacyo,Laaso Cadale,,,,400##540##460##600,400##540##460##600,400##540##460##600,,,,"6.49100000,48.01000000","6.76924000,47.43061100","6.60165600,47.42615800",,,,25000.01,25000.01,25000.01,,,,2023,400##540##460##600,400##540##460##600,400##540##460##600,,,
21,CBPF-SOM-23-R-INGO-27164,11,100.00,1##2##3##,Mudug,Gaalkacyo,Sarjimaale,,,,480##648##552##720,480##648##552##720,480##648##552##720,,,,"6.49100000,48.01000000","6.76924000,47.43061100","6.84812000,47.86530300",,,,10000.01,10000.01,10000.01,,,,2023,480##648##552##720,480##648##552##720,480##648##552##720,,,
21,CBPF-SOM-23-R-NGO-24782,4,100.00,1##,Sool,,,,,,3830##5900##4040##4230,,,,,,"8.72400000,47.52900000",,,,,,549530.60,,,,,,2023,3830##5900##4040##4230,,,,,
